,precision,recall,f1-score,support
about.1,0.9148936170212766,1.0,0.9555555555555556,129.0
about.2,1.0,0.07692307692307693,0.14285714285714288,13.0
above.1,1.0,0.8888888888888888,0.9411764705882353,9.0
above.2,0.0,0.0,0.0,0.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.5,0.4,0.4444444444444445,5.0
after.2,0.6923076923076923,1.0,0.8181818181818181,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.9047619047619048,0.95,0.9268292682926829,20.0
against.2,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.7142857142857143,1.0,0.8333333333333333,10.0
among.2,1.0,0.3333333333333333,0.5,3.0
among.3,0.5,0.3333333333333333,0.4,3.0
among.4,0.6666666666666666,0.5,0.5714285714285715,4.0
around.1,0.7962962962962963,0.7288135593220338,0.7610619469026549,59.0
around.3,0.6521739130434783,0.7317073170731707,0.6896551724137931,41.0
as.1,0.875,1.0,0.9333333333333333,28.0
as.2,1.0,0.2,0.33333333333333337,5.0
at.1,0.7910447761194029,0.9464285714285714,0.8617886178861788,56.0
at.2,0.8108108108108109,0.9090909090909091,0.8571428571428571,33.0
at.2_1,1.0,0.5,0.6666666666666666,2.0
at.3,1.0,0.16666666666666666,0.2857142857142857,6.0
at.4,0.0,0.0,0.0,3.0
at.5,0.9259259259259259,0.78125,0.847457627118644,32.0
at.6,1.0,0.75,0.8571428571428571,4.0
at.7,0.3333333333333333,1.0,0.5,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.4,0.4,0.4000000000000001,5.0
before.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.875,1.0,0.9333333333333333,21.0
between.4,1.0,0.875,0.9333333333333333,16.0
between.4_1,1.0,0.75,0.8571428571428571,4.0
by.1,0.6986301369863014,0.9622641509433962,0.8095238095238095,53.0
by.1_1,1.0,0.5555555555555556,0.7142857142857143,9.0
by.2,0.4,0.14285714285714285,0.21052631578947364,14.0
by.2_2,0.8,0.5714285714285714,0.6666666666666666,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,1.0,0.875,0.9333333333333333,8.0
by.6,1.0,0.5,0.6666666666666666,6.0
down.1,0.8387096774193549,0.7222222222222222,0.7761194029850746,36.0
down.2,0.5555555555555556,0.8333333333333334,0.6666666666666667,18.0
down.2_1,0.0,0.0,0.0,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.5,0.42857142857142855,0.4615384615384615,7.0
for.11,1.0,0.2857142857142857,0.4444444444444445,7.0
for.12_1,1.0,0.25,0.4,8.0
for.14,0.6274509803921569,0.8205128205128205,0.711111111111111,39.0
for.15,0.6,0.75,0.6666666666666665,4.0
for.16,0.5789473684210527,0.6470588235294118,0.6111111111111113,34.0
for.2,1.0,0.75,0.8571428571428571,4.0
for.3,0.0,0.0,0.0,6.0
for.4,0.5434782608695652,0.7352941176470589,0.625,34.0
for.5,1.0,0.3333333333333333,0.5,3.0
for.6,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
for.7,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
for.9,0.0,0.0,0.0,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.5868263473053892,0.9423076923076923,0.7232472324723247,104.0
from.10,0.0,0.0,0.0,5.0
from.11,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0
from.12,1.0,0.3333333333333333,0.5,21.0
from.13,0.3333333333333333,0.2,0.25,5.0
from.14,0.0,0.0,0.0,1.0
from.15,1.0,0.25,0.4,4.0
from.16,1.0,1.0,1.0,2.0
from.2,0.0,0.0,0.0,2.0
from.3,1.0,0.3333333333333333,0.5,3.0
from.4,0.5,0.2857142857142857,0.36363636363636365,7.0
from.5,1.0,1.0,1.0,1.0
from.6,0.875,0.3888888888888889,0.5384615384615385,18.0
from.7,0.4,0.4,0.4000000000000001,5.0
from.8,0.9333333333333333,0.4666666666666667,0.6222222222222223,30.0
from.9,1.0,0.4444444444444444,0.6153846153846153,9.0
from.other,0.0,0.0,0.0,2.0
in.1,0.5527950310559007,0.8090909090909091,0.6568265682656828,110.0
in.10,0.0,0.0,0.0,1.0
in.11,0.0,0.0,0.0,7.0
in.12,0.0,0.0,0.0,1.0
in.14,0.0,0.0,0.0,1.0
in.14_1,0.3333333333333333,0.2,0.25,5.0
in.15,0.8,0.4,0.5333333333333333,10.0
in.16,0.17647058823529413,0.21428571428571427,0.1935483870967742,14.0
in.17,0.75,0.3333333333333333,0.46153846153846156,9.0
in.18,0.0,0.0,0.0,1.0
in.19,1.0,0.8,0.888888888888889,5.0
in.2,0.3333333333333333,0.2631578947368421,0.29411764705882354,19.0
in.20,0.7333333333333333,0.6470588235294118,0.6875,17.0
in.21,1.0,1.0,1.0,1.0
in.3,0.5,0.3333333333333333,0.4,3.0
in.4,0.3333333333333333,0.125,0.18181818181818182,8.0
in.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0
in.6,0.36,0.28125,0.3157894736842105,32.0
in.7,0.0,0.0,0.0,3.0
in.8,1.0,0.16666666666666666,0.2857142857142857,12.0
in.other,0.0,0.0,0.0,3.0
inside.1,0.6,0.375,0.4615384615384615,8.0
inside.1_1,0.2857142857142857,0.5,0.36363636363636365,4.0
inside.1_2,1.0,1.0,1.0,1.0
into.1,0.8347826086956521,0.9896907216494846,0.9056603773584905,97.0
into.2,0.0,0.0,0.0,7.0
into.4,1.0,0.25,0.4,16.0
like.1,0.8979591836734694,1.0,0.9462365591397849,44.0
like.2,0.0,0.0,0.0,2.0
like.3,0.0,0.0,0.0,1.0
like.4,0.0,0.0,0.0,2.0
of.1,0.43820224719101125,0.9285714285714286,0.5954198473282443,42.0
of.10,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
of.11,0.42105263157894735,0.8888888888888888,0.5714285714285714,9.0
of.12,0.0,0.0,0.0,4.0
of.13,1.0,0.6666666666666666,0.8,3.0
of.14,0.25,0.2,0.22222222222222224,5.0
of.15,1.0,0.6666666666666666,0.8,3.0
of.16,1.0,0.5,0.6666666666666666,2.0
of.18,0.5862068965517241,0.8395061728395061,0.6903553299492386,81.0
of.18_1,0.8461538461538461,0.6875,0.7586206896551724,16.0
of.19,0.8125,0.7647058823529411,0.787878787878788,17.0
of.2_1,0.9,0.8181818181818182,0.8571428571428572,55.0
of.2_2,0.8305084745762712,0.7205882352941176,0.7716535433070865,68.0
of.2_3,0.875,0.5185185185185185,0.6511627906976744,27.0
of.2_4,0.3333333333333333,0.5,0.4,2.0
of.3,1.0,0.8275862068965517,0.9056603773584906,29.0
of.4,0.736,0.7076923076923077,0.7215686274509805,130.0
of.5,0.5333333333333333,0.25806451612903225,0.34782608695652173,31.0
of.5_1,0.0,0.0,0.0,3.0
of.6,0.6666666666666666,0.2,0.30769230769230765,10.0
of.7,0.6363636363636364,0.3333333333333333,0.43749999999999994,21.0
of.7_1,0.6666666666666666,1.0,0.8,2.0
of.8,1.0,0.125,0.2222222222222222,8.0
of.8_1,0.0,0.0,0.0,1.0
of.9,0.0,0.0,0.0,2.0
of.99,0.0,0.0,0.0,0.0
off.1,0.88,1.0,0.9361702127659575,22.0
off.3_1,0.0,0.0,0.0,2.0
off.other,0.0,0.0,0.0,1.0
on.1,0.6166666666666667,0.7551020408163265,0.6788990825688074,49.0
on.10,0.0,0.0,0.0,1.0
on.11,0.5,0.5,0.5,4.0
on.12,0.0,0.0,0.0,1.0
on.1_1,0.5,0.5,0.5,4.0
on.1_2,0.5918367346938775,0.7435897435897436,0.6590909090909091,39.0
on.1_3,0.25,0.16666666666666666,0.2,6.0
on.1_4,0.0,0.0,0.0,4.0
on.2,0.75,0.375,0.5,8.0
on.3,0.8181818181818182,0.9,0.8571428571428572,30.0
on.4_1,0.0,0.0,0.0,4.0
on.4_2,0.0,0.0,0.0,1.0
on.4_3,0.0,0.0,0.0,1.0
on.5,1.0,0.2,0.33333333333333337,10.0
on.6,0.75,0.8571428571428571,0.7999999999999999,7.0
on.7,0.0,0.0,0.0,1.0
on.8,0.0,0.0,0.0,1.0
on.9,0.0,0.0,0.0,1.0
on.other,0.0,0.0,0.0,1.0
onto.1,1.0,1.0,1.0,23.0
over.1,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
over.10,1.0,0.6666666666666666,0.8,6.0
over.3,0.6666666666666666,0.18181818181818182,0.28571428571428575,11.0
over.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
over.6_1,0.0,0.0,0.0,1.0
over.8,0.6666666666666666,1.0,0.8,16.0
through.1,0.927710843373494,1.0,0.9625,77.0
through.3,1.0,0.5714285714285714,0.7272727272727273,7.0
through.4,0.0,0.0,0.0,3.0
to.1,0.8133333333333334,0.8243243243243243,0.8187919463087249,74.0
to.1_1,0.5263157894736842,0.9090909090909091,0.6666666666666666,11.0
to.2,0.25,0.09090909090909091,0.13333333333333333,11.0
to.3,1.0,0.42857142857142855,0.6,7.0
to.4_1,0.6526315789473685,0.8732394366197183,0.746987951807229,71.0
to.4_2,0.3333333333333333,0.2857142857142857,0.30769230769230765,7.0
to.5,0.0,0.0,0.0,1.0
to.6,1.0,0.25,0.4,4.0
to.7,0.896551724137931,0.5652173913043478,0.6933333333333332,46.0
toward.1,0.9512195121951219,1.0,0.975,39.0
toward.1_2,0.0,0.0,0.0,1.0
toward.2,1.0,1.0,1.0,1.0
toward.3,1.0,0.5,0.6666666666666666,2.0
with.1,0.5409836065573771,0.8048780487804879,0.6470588235294118,41.0
with.10_1,0.5882352941176471,0.8333333333333334,0.6896551724137931,12.0
with.10_2,1.0,0.8,0.888888888888889,20.0
with.10_3,1.0,0.7692307692307693,0.8695652173913044,13.0
with.3,1.0,0.25,0.4,4.0
with.4,0.6666666666666666,0.7857142857142857,0.721311475409836,84.0
with.5,0.8,0.46153846153846156,0.5853658536585367,26.0
with.6,0.0,0.0,0.0,5.0
with.7,0.0,0.0,0.0,9.0
with.7_1,0.6,0.42857142857142855,0.5,14.0
with.7_2,0.0,0.0,0.0,1.0
with.8,0.0,0.0,0.0,4.0
accuracy,0.7268170426065163,0.7268170426065163,0.7268170426065163,0.7268170426065163
macro avg,0.5573841872745695,0.45827169193444156,0.4726255811051512,3192.0
weighted avg,0.7312521459056858,0.7268170426065163,0.7038815552640856,3192.0
