,precision,recall,f1-score,support
about.1,0.9626865671641791,1.0,0.9809885931558935,129.0
about.2,1.0,0.6153846153846154,0.761904761904762,13.0
above.1,1.0,0.8888888888888888,0.9411764705882353,9.0
above.2,0.0,0.0,0.0,0.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.5,0.6,0.5454545454545454,5.0
after.2,0.8,0.8888888888888888,0.8421052631578948,9.0
after.3,1.0,1.0,1.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.9523809523809523,1.0,0.975609756097561,20.0
against.2,1.0,0.9473684210526315,0.972972972972973,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.9,0.9,0.9,10.0
among.2,1.0,0.6666666666666666,0.8,3.0
among.3,0.5,0.6666666666666666,0.5714285714285715,3.0
among.4,0.75,0.75,0.75,4.0
around.1,0.8269230769230769,0.7288135593220338,0.7747747747747747,59.0
around.3,0.6666666666666666,0.7804878048780488,0.7191011235955055,41.0
as.1,0.9333333333333333,1.0,0.9655172413793104,28.0
as.2,1.0,0.6,0.7499999999999999,5.0
at.1,0.8571428571428571,0.9642857142857143,0.9075630252100839,56.0
at.2,0.9354838709677419,0.8787878787878788,0.90625,33.0
at.2_1,0.6666666666666666,1.0,0.8,2.0
at.3,1.0,0.3333333333333333,0.5,6.0
at.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
at.5,0.9393939393939394,0.96875,0.9538461538461539,32.0
at.6,1.0,0.75,0.8571428571428571,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.6666666666666666,0.4,0.5,5.0
before.2,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
before.2_1,0.3333333333333333,1.0,0.5,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.9545454545454546,1.0,0.9767441860465117,21.0
between.4,1.0,0.875,0.9333333333333333,16.0
between.4_1,0.8,1.0,0.888888888888889,4.0
by.1,0.8,0.9056603773584906,0.8495575221238938,53.0
by.1_1,1.0,0.8888888888888888,0.9411764705882353,9.0
by.2,0.6,0.42857142857142855,0.5,14.0
by.2_2,0.6666666666666666,0.5714285714285714,0.6153846153846153,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,0.8888888888888888,1.0,0.9411764705882353,8.0
by.6,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
down.1,0.9655172413793104,0.7777777777777778,0.8615384615384615,36.0
down.2,0.5862068965517241,0.9444444444444444,0.7234042553191489,18.0
down.2_1,0.0,0.0,0.0,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
for.11,0.6,0.42857142857142855,0.5,7.0
for.12_1,0.6,0.375,0.4615384615384615,8.0
for.14,0.6538461538461539,0.8717948717948718,0.7472527472527474,39.0
for.15,1.0,0.75,0.8571428571428571,4.0
for.16,0.5333333333333333,0.7058823529411765,0.6075949367088608,34.0
for.2,1.0,0.25,0.4,4.0
for.3,0.0,0.0,0.0,6.0
for.4,0.7586206896551724,0.6470588235294118,0.6984126984126984,34.0
for.5,0.0,0.0,0.0,3.0
for.6,1.0,1.0,1.0,12.0
for.7,0.7142857142857143,0.6666666666666666,0.689655172413793,15.0
for.9,0.3333333333333333,0.2,0.25,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.75,0.8942307692307693,0.8157894736842106,104.0
from.10,0.5,0.4,0.4444444444444445,5.0
from.11,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
from.12,0.8571428571428571,0.5714285714285714,0.6857142857142857,21.0
from.13,0.5,0.4,0.4444444444444445,5.0
from.14,0.0,0.0,0.0,1.0
from.15,0.6666666666666666,0.5,0.5714285714285715,4.0
from.16,1.0,1.0,1.0,2.0
from.2,0.5,0.5,0.5,2.0
from.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
from.4,0.8,0.5714285714285714,0.6666666666666666,7.0
from.5,1.0,1.0,1.0,1.0
from.6,0.7857142857142857,0.6111111111111112,0.6875000000000001,18.0
from.7,0.5,0.2,0.28571428571428575,5.0
from.8,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
from.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
from.other,0.0,0.0,0.0,2.0
in.1,0.6666666666666666,0.7090909090909091,0.6872246696035242,110.0
in.10,0.0,0.0,0.0,1.0
in.11,0.3,0.42857142857142855,0.3529411764705882,7.0
in.12,0.5,1.0,0.6666666666666666,1.0
in.14,0.0,0.0,0.0,1.0
in.14_1,0.6666666666666666,0.4,0.5,5.0
in.15,0.75,0.6,0.6666666666666665,10.0
in.16,0.25,0.2857142857142857,0.26666666666666666,14.0
in.17,0.45454545454545453,0.5555555555555556,0.5,9.0
in.18,0.0,0.0,0.0,1.0
in.19,0.75,0.6,0.6666666666666665,5.0
in.2,0.55,0.5789473684210527,0.5641025641025641,19.0
in.20,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0
in.21,0.3333333333333333,1.0,0.5,1.0
in.3,1.0,0.3333333333333333,0.5,3.0
in.4,0.6666666666666666,0.5,0.5714285714285715,8.0
in.5,0.4444444444444444,0.5714285714285714,0.5,7.0
in.6,0.5925925925925926,0.5,0.5423728813559322,32.0
in.7,0.0,0.0,0.0,3.0
in.8,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0
in.other,0.0,0.0,0.0,3.0
inside.1,1.0,0.25,0.4,8.0
inside.1_1,0.3333333333333333,0.5,0.4,4.0
inside.1_2,0.2,1.0,0.33333333333333337,1.0
into.1,0.89,0.9175257731958762,0.9035532994923858,97.0
into.2,0.25,0.14285714285714285,0.18181818181818182,7.0
into.4,0.375,0.375,0.375,16.0
like.1,0.8979591836734694,1.0,0.9462365591397849,44.0
like.2,0.0,0.0,0.0,2.0
like.3,0.0,0.0,0.0,1.0
like.4,0.0,0.0,0.0,2.0
of.1,0.8163265306122449,0.9523809523809523,0.8791208791208791,42.0
of.10,0.6923076923076923,1.0,0.8181818181818181,9.0
of.11,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
of.12,0.0,0.0,0.0,4.0
of.13,1.0,1.0,1.0,3.0
of.14,0.6666666666666666,0.4,0.5,5.0
of.15,1.0,0.6666666666666666,0.8,3.0
of.16,1.0,0.5,0.6666666666666666,2.0
of.17,0.0,0.0,0.0,0.0
of.18,0.7472527472527473,0.8395061728395061,0.7906976744186047,81.0
of.18_1,1.0,0.75,0.8571428571428571,16.0
