,precision,recall,f1-score,support
about.1,0.9626865671641791,1.0,0.9809885931558935,129.0
about.2,1.0,0.6153846153846154,0.761904761904762,13.0
above.1,1.0,0.8888888888888888,0.9411764705882353,9.0
above.2,0.0,0.0,0.0,0.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.6666666666666666,0.8,0.7272727272727272,5.0
after.2,0.9,1.0,0.9473684210526316,9.0
after.3,1.0,1.0,1.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.9523809523809523,1.0,0.975609756097561,20.0
against.2,1.0,0.9473684210526315,0.972972972972973,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.9090909090909091,1.0,0.9523809523809523,10.0
among.2,1.0,0.6666666666666666,0.8,3.0
among.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
among.4,0.75,0.75,0.75,4.0
around.1,0.8571428571428571,0.8135593220338984,0.8347826086956522,59.0
around.3,0.75,0.8048780487804879,0.7764705882352942,41.0
as.1,0.9333333333333333,1.0,0.9655172413793104,28.0
as.2,1.0,0.6,0.7499999999999999,5.0
at.1,0.8709677419354839,0.9642857142857143,0.9152542372881356,56.0
at.2,0.8529411764705882,0.8787878787878788,0.8656716417910447,33.0
at.2_1,0.6666666666666666,1.0,0.8,2.0
at.3,1.0,0.3333333333333333,0.5,6.0
at.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
at.5,0.9354838709677419,0.90625,0.9206349206349206,32.0
at.6,1.0,0.75,0.8571428571428571,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.8,0.8,0.8000000000000002,5.0
before.2,1.0,0.6666666666666666,0.8,3.0
before.2_1,0.5,1.0,0.6666666666666666,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.9545454545454546,1.0,0.9767441860465117,21.0
between.4,1.0,0.9375,0.967741935483871,16.0
between.4_1,1.0,1.0,1.0,4.0
by.1,0.8305084745762712,0.9245283018867925,0.875,53.0
by.1_1,1.0,1.0,1.0,9.0
by.2,0.6363636363636364,0.5,0.56,14.0
by.2_2,0.8333333333333334,0.7142857142857143,0.7692307692307692,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,1.0,1.0,1.0,8.0
by.6,1.0,1.0,1.0,6.0
down.1,0.896551724137931,0.7222222222222222,0.7999999999999999,36.0
down.2,0.5517241379310345,0.8888888888888888,0.6808510638297872,18.0
down.2_1,0.0,0.0,0.0,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.5,0.5714285714285714,0.5333333333333333,7.0
for.11,0.75,0.42857142857142855,0.5454545454545454,7.0
for.12_1,0.6666666666666666,0.5,0.5714285714285715,8.0
for.14,0.68,0.8717948717948718,0.7640449438202247,39.0
for.15,1.0,1.0,1.0,4.0
for.16,0.5813953488372093,0.7352941176470589,0.6493506493506493,34.0
for.2,1.0,0.5,0.6666666666666666,4.0
for.3,0.2,0.16666666666666666,0.1818181818181818,6.0
for.4,0.75,0.7058823529411765,0.7272727272727272,34.0
for.5,1.0,0.3333333333333333,0.5,3.0
for.6,1.0,1.0,1.0,12.0
for.7,0.9090909090909091,0.6666666666666666,0.7692307692307692,15.0
for.9,0.5,0.2,0.28571428571428575,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.7293233082706767,0.9326923076923077,0.8185654008438819,104.0
from.10,1.0,0.4,0.5714285714285715,5.0
from.11,0.7222222222222222,0.8666666666666667,0.7878787878787877,15.0
from.12,0.75,0.5714285714285714,0.6486486486486486,21.0
from.13,0.5,0.4,0.4444444444444445,5.0
from.14,0.0,0.0,0.0,1.0
from.15,0.6666666666666666,0.5,0.5714285714285715,4.0
from.16,1.0,1.0,1.0,2.0
from.2,1.0,0.5,0.6666666666666666,2.0
from.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
from.4,1.0,0.42857142857142855,0.6,7.0
from.5,1.0,1.0,1.0,1.0
from.6,1.0,0.6111111111111112,0.7586206896551725,18.0
from.7,1.0,0.4,0.5714285714285715,5.0
from.8,0.8571428571428571,0.8,0.8275862068965518,30.0
from.9,0.8571428571428571,0.6666666666666666,0.75,9.0
from.other,0.0,0.0,0.0,2.0
in.1,0.6074074074074074,0.7454545454545455,0.6693877551020408,110.0
in.10,0.0,0.0,0.0,1.0
in.11,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0
in.12,0.0,0.0,0.0,1.0
in.14,0.0,0.0,0.0,1.0
in.14_1,0.5,0.4,0.4444444444444445,5.0
in.15,0.7,0.7,0.7,10.0
in.16,0.25,0.14285714285714285,0.18181818181818182,14.0
in.17,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0
in.18,0.0,0.0,0.0,1.0
in.19,0.75,0.6,0.6666666666666665,5.0
in.2,0.5625,0.47368421052631576,0.5142857142857142,19.0
in.20,0.631578947368421,0.7058823529411765,0.6666666666666667,17.0
in.21,0.5,1.0,0.6666666666666666,1.0
in.3,1.0,0.6666666666666666,0.8,3.0
in.4,0.6666666666666666,0.5,0.5714285714285715,8.0
in.5,0.4,0.5714285714285714,0.47058823529411764,7.0
in.6,0.5769230769230769,0.46875,0.5172413793103449,32.0
in.7,0.0,0.0,0.0,3.0
in.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.0
in.other,0.0,0.0,0.0,3.0
inside.1,1.0,0.25,0.4,8.0
inside.1_1,0.3333333333333333,0.5,0.4,4.0
inside.1_2,0.2,1.0,0.33333333333333337,1.0
into.1,0.883495145631068,0.9381443298969072,0.9099999999999999,97.0
into.2,0.3333333333333333,0.14285714285714285,0.2,7.0
into.4,0.42857142857142855,0.375,0.39999999999999997,16.0
like.1,0.8979591836734694,1.0,0.9462365591397849,44.0
like.2,0.0,0.0,0.0,2.0
like.3,0.0,0.0,0.0,1.0
like.4,0.0,0.0,0.0,2.0
of.1,0.8260869565217391,0.9047619047619048,0.8636363636363636,42.0
of.10,0.6,1.0,0.7499999999999999,9.0
of.11,0.8,0.8888888888888888,0.8421052631578948,9.0
of.12,0.0,0.0,0.0,4.0
of.13,1.0,1.0,1.0,3.0
of.14,0.6666666666666666,0.4,0.5,5.0
of.15,1.0,0.6666666666666666,0.8,3.0
of.16,1.0,0.5,0.6666666666666666,2.0
of.17,0.0,0.0,0.0,0.0
of.18,0.7204301075268817,0.8271604938271605,0.7701149425287357,81.0
of.18_1,0.9285714285714286,0.8125,0.8666666666666666,16.0
of.19,1.0,0.8823529411764706,0.9375,17.0
