,precision,recall,f1-score,support
about.1,0.9552238805970149,0.9922480620155039,0.9733840304182508,129.0
about.2,0.875,0.5384615384615384,0.6666666666666667,13.0
above.1,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
above.2,0.0,0.0,0.0,0.0
above.3,0.0,0.0,0.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.75,0.6,0.6666666666666665,5.0
after.2,0.6923076923076923,1.0,0.8181818181818181,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,1.0,0.8,0.888888888888889,20.0
against.2,0.8260869565217391,1.0,0.9047619047619047,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.8333333333333334,1.0,0.9090909090909091,10.0
among.2,1.0,0.3333333333333333,0.5,3.0
among.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
among.4,0.75,0.75,0.75,4.0
around.1,0.8571428571428571,0.8135593220338984,0.8347826086956522,59.0
around.3,0.75,0.8048780487804879,0.7764705882352942,41.0
as.1,0.9032258064516129,1.0,0.9491525423728813,28.0
as.2,1.0,0.4,0.5714285714285715,5.0
at.1,0.8688524590163934,0.9464285714285714,0.9059829059829059,56.0
at.2,0.775,0.9393939393939394,0.8493150684931509,33.0
at.2_1,1.0,0.5,0.6666666666666666,2.0
at.3,1.0,0.16666666666666666,0.2857142857142857,6.0
at.4,1.0,0.6666666666666666,0.8,3.0
at.5,0.8709677419354839,0.84375,0.8571428571428571,32.0
at.6,1.0,0.5,0.6666666666666666,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,1.0,0.4,0.5714285714285715,5.0
before.2,0.6,1.0,0.7499999999999999,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.9545454545454546,1.0,0.9767441860465117,21.0
between.4,1.0,1.0,1.0,16.0
between.4_1,1.0,0.75,0.8571428571428571,4.0
by.1,0.8135593220338984,0.9056603773584906,0.8571428571428572,53.0
by.1_1,1.0,1.0,1.0,9.0
by.2,0.6,0.21428571428571427,0.3157894736842105,14.0
by.2_2,0.4444444444444444,0.5714285714285714,0.5,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,0.8,1.0,0.888888888888889,8.0
by.6,1.0,0.8333333333333334,0.9090909090909091,6.0
down.1,0.8214285714285714,0.6388888888888888,0.7187499999999999,36.0
down.2,0.4666666666666667,0.7777777777777778,0.5833333333333334,18.0
down.2_1,0.0,0.0,0.0,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
for.11,0.8,0.5714285714285714,0.6666666666666666,7.0
for.12_1,1.0,0.375,0.5454545454545454,8.0
for.14,0.8048780487804879,0.8461538461538461,0.8250000000000001,39.0
for.15,1.0,0.75,0.8571428571428571,4.0
for.16,0.6774193548387096,0.6176470588235294,0.6461538461538462,34.0
for.2,0.75,0.75,0.75,4.0
for.3,0.0,0.0,0.0,6.0
for.4,0.45901639344262296,0.8235294117647058,0.5894736842105264,34.0
for.5,1.0,0.3333333333333333,0.5,3.0
for.6,1.0,0.8333333333333334,0.9090909090909091,12.0
for.7,0.8333333333333334,0.6666666666666666,0.7407407407407408,15.0
for.9,0.5,0.2,0.28571428571428575,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.591715976331361,0.9615384615384616,0.7326007326007326,104.0
from.10,1.0,0.2,0.33333333333333337,5.0
from.11,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
from.12,1.0,0.2857142857142857,0.4444444444444445,21.0
