,precision,recall,f1-score,support
about.1,0.9772727272727273,1.0,0.9885057471264368,129.0
about.2,1.0,0.7692307692307693,0.8695652173913044,13.0
above.1,1.0,0.8888888888888888,0.9411764705882353,9.0
above.3,0.5,1.0,0.6666666666666666,1.0
across.1,1.0,1.0,1.0,64.0
after.1,1.0,0.6,0.7499999999999999,5.0
after.2,0.6428571428571429,1.0,0.782608695652174,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,1.0,0.95,0.9743589743589743,20.0
against.2,0.95,1.0,0.9743589743589743,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.7142857142857143,1.0,0.8333333333333333,10.0
among.2,1.0,0.6666666666666666,0.8,3.0
among.3,0.0,0.0,0.0,3.0
among.4,0.5,0.5,0.5,4.0
around.1,0.92,0.7796610169491526,0.8440366972477064,59.0
around.3,0.74,0.9024390243902439,0.8131868131868132,41.0
as.1,0.8484848484848485,1.0,0.9180327868852458,28.0
as.2,0.0,0.0,0.0,5.0
at.1,0.8305084745762712,0.875,0.8521739130434782,56.0
at.2,0.7631578947368421,0.8787878787878788,0.8169014084507042,33.0
at.2_1,1.0,0.5,0.6666666666666666,2.0
at.3,1.0,0.16666666666666666,0.2857142857142857,6.0
at.4,1.0,0.6666666666666666,0.8,3.0
at.5,0.8285714285714286,0.90625,0.8656716417910447,32.0
at.6,1.0,0.5,0.6666666666666666,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.6666666666666666,0.8,0.7272727272727272,5.0
before.2,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.8695652173913043,0.9523809523809523,0.909090909090909,21.0
between.4,0.875,0.875,0.875,16.0
between.4_1,1.0,0.5,0.6666666666666666,4.0
by.1,0.7285714285714285,0.9622641509433962,0.8292682926829268,53.0
by.1_1,1.0,0.5555555555555556,0.7142857142857143,9.0
by.2,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0
by.2_2,0.75,0.42857142857142855,0.5454545454545454,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,1.0,0.875,0.9333333333333333,8.0
by.6,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
down.1,1.0,0.8055555555555556,0.8923076923076924,36.0
down.2,0.6428571428571429,1.0,0.782608695652174,18.0
down.2_1,1.0,0.25,0.4,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.2857142857142857,0.5714285714285714,0.38095238095238093,7.0
for.11,0.8,0.5714285714285714,0.6666666666666666,7.0
for.12_1,0.46153846153846156,0.75,0.5714285714285714,8.0
for.14,0.47761194029850745,0.8205128205128205,0.6037735849056602,39.0
for.15,0.4,0.5,0.4444444444444445,4.0
for.16,0.6086956521739131,0.4117647058823529,0.4912280701754386,34.0
for.2,1.0,0.25,0.4,4.0
for.3,0.0,0.0,0.0,6.0
for.4,0.5862068965517241,0.5,0.5396825396825397,34.0
for.5,0.0,0.0,0.0,3.0
for.6,0.8,0.6666666666666666,0.7272727272727272,12.0
for.7,0.6,0.4,0.48,15.0
for.8,0.0,0.0,0.0,0.0
for.9,0.0,0.0,0.0,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.6114649681528662,0.9230769230769231,0.735632183908046,104.0
from.10,0.0,0.0,0.0,5.0
from.11,0.4482758620689655,0.8666666666666667,0.5909090909090909,15.0
from.12,0.5,0.23809523809523808,0.3225806451612903,21.0
from.13,0.6666666666666666,0.4,0.5,5.0
from.14,0.0,0.0,0.0,1.0
from.15,0.0,0.0,0.0,4.0
from.16,1.0,1.0,1.0,2.0
from.2,1.0,0.5,0.6666666666666666,2.0
from.3,0.5,0.3333333333333333,0.4,3.0
from.4,1.0,0.14285714285714285,0.25,7.0
from.5,1.0,1.0,1.0,1.0
from.6,1.0,0.3888888888888889,0.56,18.0
from.7,1.0,0.2,0.33333333333333337,5.0
from.8,0.9375,0.5,0.6521739130434783,30.0
