,precision,recall,f1-score,support
about.1,0.9847328244274809,1.0,0.9923076923076923,129.0
about.2,1.0,0.8461538461538461,0.9166666666666666,13.0
above.1,1.0,1.0,1.0,9.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.8333333333333334,1.0,0.9090909090909091,5.0
after.2,0.8181818181818182,1.0,0.9,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.9523809523809523,1.0,0.975609756097561,20.0
against.2,1.0,0.9473684210526315,0.972972972972973,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.9090909090909091,1.0,0.9523809523809523,10.0
among.2,1.0,0.6666666666666666,0.8,3.0
among.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
among.4,0.75,0.75,0.75,4.0
around.1,0.9215686274509803,0.7966101694915254,0.8545454545454545,59.0
around.3,0.7551020408163265,0.9024390243902439,0.8222222222222222,41.0
as.1,0.9333333333333333,1.0,0.9655172413793104,28.0
as.2,1.0,0.6,0.7499999999999999,5.0
at.1,0.8484848484848485,1.0,0.9180327868852458,56.0
at.2,0.9642857142857143,0.8181818181818182,0.8852459016393442,33.0
at.2_1,1.0,1.0,1.0,2.0
at.3,0.5,0.16666666666666666,0.25,6.0
at.4,1.0,0.6666666666666666,0.8,3.0
at.5,0.8857142857142857,0.96875,0.9253731343283582,32.0
at.6,1.0,0.75,0.8571428571428571,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,1.0,0.8,0.888888888888889,5.0
before.2,0.6,1.0,0.7499999999999999,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.9130434782608695,1.0,0.9545454545454545,21.0
between.4,1.0,0.9375,0.967741935483871,16.0
between.4_1,1.0,0.75,0.8571428571428571,4.0
by.1,0.8524590163934426,0.9811320754716981,0.912280701754386,53.0
by.1_1,1.0,1.0,1.0,9.0
by.2,1.0,0.42857142857142855,0.6,14.0
by.2_2,0.8,0.5714285714285714,0.6666666666666666,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,1.0,1.0,1.0,8.0
by.6,0.75,1.0,0.8571428571428571,6.0
down.1,0.9411764705882353,0.8888888888888888,0.9142857142857143,36.0
down.2,0.7391304347826086,0.9444444444444444,0.8292682926829269,18.0
down.2_1,1.0,0.25,0.4,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.8,0.5714285714285714,0.6666666666666666,7.0
for.11,1.0,0.7142857142857143,0.8333333333333333,7.0
for.12_1,0.8571428571428571,0.75,0.7999999999999999,8.0
for.14,0.7333333333333333,0.8461538461538461,0.7857142857142856,39.0
for.15,1.0,0.75,0.8571428571428571,4.0
for.16,0.5681818181818182,0.7352941176470589,0.641025641025641,34.0
for.2,1.0,0.75,0.8571428571428571,4.0
for.3,0.2,0.16666666666666666,0.1818181818181818,6.0
for.4,0.8,0.8235294117647058,0.8115942028985507,34.0
for.5,1.0,0.3333333333333333,0.5,3.0
for.6,1.0,0.9166666666666666,0.9565217391304348,12.0
for.7,1.0,0.8,0.888888888888889,15.0
for.9,0.5,0.4,0.4444444444444445,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.7622950819672131,0.8942307692307693,0.8230088495575222,104.0
from.10,0.6,0.6,0.6,5.0
from.11,0.6923076923076923,0.6,0.6428571428571429,15.0
from.12,0.7058823529411765,0.5714285714285714,0.6315789473684211,21.0
from.13,0.6666666666666666,0.8,0.7272727272727272,5.0
from.14,0.0,0.0,0.0,1.0
from.15,0.5,0.25,0.3333333333333333,4.0
from.16,1.0,1.0,1.0,2.0
from.2,1.0,0.5,0.6666666666666666,2.0
from.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
from.4,0.8,0.5714285714285714,0.6666666666666666,7.0
from.5,1.0,1.0,1.0,1.0
from.6,0.8333333333333334,0.5555555555555556,0.6666666666666667,18.0
from.7,0.6,0.6,0.6,5.0
from.8,0.75,0.8,0.7741935483870969,30.0
from.9,0.875,0.7777777777777778,0.823529411764706,9.0
from.other,0.0,0.0,0.0,2.0
in.1,0.7678571428571429,0.7818181818181819,0.7747747747747747,110.0
in.10,0.0,0.0,0.0,1.0
in.11,0.2727272727272727,0.42857142857142855,0.33333333333333326,7.0
in.12,0.5,1.0,0.6666666666666666,1.0
in.14,0.0,0.0,0.0,1.0
in.14_1,0.6666666666666666,0.4,0.5,5.0
in.15,0.5833333333333334,0.7,0.6363636363636365,10.0
in.16,0.5882352941176471,0.7142857142857143,0.6451612903225806,14.0
in.17,0.5833333333333334,0.7777777777777778,0.6666666666666666,9.0
in.18,0.5,1.0,0.6666666666666666,1.0
in.19,1.0,0.6,0.7499999999999999,5.0
in.2,0.6111111111111112,0.5789473684210527,0.5945945945945946,19.0
in.20,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
in.21,1.0,1.0,1.0,1.0
in.3,1.0,1.0,1.0,3.0
in.4,1.0,0.5,0.6666666666666666,8.0
in.5,0.6666666666666666,0.8571428571428571,0.75,7.0
in.6,0.4666666666666667,0.4375,0.45161290322580644,32.0
in.7,1.0,0.6666666666666666,0.8,3.0
in.8,0.6923076923076923,0.75,0.7199999999999999,12.0
in.other,0.0,0.0,0.0,3.0
inside.1,0.8333333333333334,0.625,0.7142857142857143,8.0
inside.1_1,0.5,0.75,0.6,4.0
inside.1_2,1.0,1.0,1.0,1.0
into.1,0.875,0.9381443298969072,0.9054726368159204,97.0
into.2,0.4,0.2857142857142857,0.3333333333333333,7.0
into.4,0.7,0.4375,0.5384615384615384,16.0
into.4_1,0.0,0.0,0.0,0.0
like.1,0.8958333333333334,0.9772727272727273,0.9347826086956522,44.0
like.2,0.0,0.0,0.0,2.0
like.3,0.0,0.0,0.0,1.0
like.4,0.0,0.0,0.0,2.0
of.1,0.8695652173913043,0.9523809523809523,0.909090909090909,42.0
of.10,0.75,0.6666666666666666,0.7058823529411765,9.0
of.11,1.0,0.8888888888888888,0.9411764705882353,9.0
of.12,0.0,0.0,0.0,4.0
of.13,1.0,1.0,1.0,3.0
of.14,1.0,0.2,0.33333333333333337,5.0
of.15,1.0,0.6666666666666666,0.8,3.0
of.16,0.5,0.5,0.5,2.0
of.17,0.0,0.0,0.0,0.0
of.18,0.7029702970297029,0.8765432098765432,0.7802197802197802,81.0
of.18_1,0.8461538461538461,0.6875,0.7586206896551724,16.0
of.19,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
of.2_1,0.9433962264150944,0.9090909090909091,0.9259259259259259,55.0
of.2_2,0.8805970149253731,0.8676470588235294,0.874074074074074,68.0
of.2_3,0.8,0.7407407407407407,0.7692307692307692,27.0
of.2_4,0.0,0.0,0.0,2.0
