,precision,recall,f1-score,support
about.1,0.9772727272727273,1.0,0.9885057471264368,129.0
about.2,1.0,0.7692307692307693,0.8695652173913044,13.0
above.1,1.0,1.0,1.0,9.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.7142857142857143,1.0,0.8333333333333333,5.0
after.2,0.9,1.0,0.9473684210526316,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,1.0,1.0,1.0,20.0
against.2,1.0,1.0,1.0,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.9090909090909091,1.0,0.9523809523809523,10.0
among.2,1.0,0.6666666666666666,0.8,3.0
among.3,0.5,0.6666666666666666,0.5714285714285715,3.0
among.4,0.6666666666666666,0.5,0.5714285714285715,4.0
around.1,0.9215686274509803,0.7966101694915254,0.8545454545454545,59.0
around.3,0.7551020408163265,0.9024390243902439,0.8222222222222222,41.0
as.1,0.9310344827586207,0.9642857142857143,0.9473684210526316,28.0
as.2,0.75,0.6,0.6666666666666665,5.0
at.1,0.8484848484848485,1.0,0.9180327868852458,56.0
at.2,0.875,0.8484848484848485,0.8615384615384615,33.0
at.2_1,1.0,1.0,1.0,2.0
at.3,1.0,0.16666666666666666,0.2857142857142857,6.0
at.4,1.0,0.6666666666666666,0.8,3.0
at.5,0.9375,0.9375,0.9375,32.0
at.6,1.0,0.75,0.8571428571428571,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.7142857142857143,1.0,0.8333333333333333,5.0
before.2,1.0,0.6666666666666666,0.8,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
between.4,0.9375,0.9375,0.9375,16.0
between.4_1,1.0,0.75,0.8571428571428571,4.0
by.1,0.819672131147541,0.9433962264150944,0.8771929824561403,53.0
by.1_1,1.0,1.0,1.0,9.0
by.2,0.6666666666666666,0.42857142857142855,0.5217391304347826,14.0
by.2_2,0.75,0.42857142857142855,0.5454545454545454,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,1.0,1.0,1.0,8.0
by.6,0.8571428571428571,1.0,0.923076923076923,6.0
down.1,0.96875,0.8611111111111112,0.911764705882353,36.0
down.2,0.72,1.0,0.8372093023255813,18.0
down.2_1,1.0,0.25,0.4,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.6666666666666666,0.5714285714285714,0.6153846153846153,7.0
for.11,1.0,0.7142857142857143,0.8333333333333333,7.0
for.12_1,0.7777777777777778,0.875,0.823529411764706,8.0
for.14,0.6415094339622641,0.8717948717948718,0.7391304347826088,39.0
for.15,1.0,1.0,1.0,4.0
for.16,0.6052631578947368,0.6764705882352942,0.6388888888888888,34.0
for.2,1.0,0.5,0.6666666666666666,4.0
for.3,0.0,0.0,0.0,6.0
for.4,0.7435897435897436,0.8529411764705882,0.7945205479452054,34.0
for.5,1.0,0.3333333333333333,0.5,3.0
for.6,1.0,0.9166666666666666,0.9565217391304348,12.0
for.7,1.0,0.6666666666666666,0.8,15.0
for.9,0.5,0.2,0.28571428571428575,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.7741935483870968,0.9230769230769231,0.8421052631578947,104.0
from.10,1.0,0.4,0.5714285714285715,5.0
from.11,0.7058823529411765,0.8,0.7500000000000001,15.0
from.12,0.7333333333333333,0.5238095238095238,0.611111111111111,21.0
from.13,0.7142857142857143,1.0,0.8333333333333333,5.0
from.14,0.0,0.0,0.0,1.0
from.15,0.5,0.25,0.3333333333333333,4.0
from.16,1.0,1.0,1.0,2.0
from.2,0.5,1.0,0.6666666666666666,2.0
from.3,0.75,1.0,0.8571428571428571,3.0
from.4,1.0,0.42857142857142855,0.6,7.0
from.5,1.0,1.0,1.0,1.0
from.6,1.0,0.6666666666666666,0.8,18.0
from.7,1.0,0.6,0.7499999999999999,5.0
from.8,0.8275862068965517,0.8,0.8135593220338982,30.0
from.9,0.875,0.7777777777777778,0.823529411764706,9.0
