,precision,recall,f1-score,support
about.1,0.9847328244274809,1.0,0.9923076923076923,129.0
about.2,1.0,0.8461538461538461,0.9166666666666666,13.0
above.1,1.0,0.8888888888888888,0.9411764705882353,9.0
above.3,0.5,1.0,0.6666666666666666,1.0
across.1,1.0,1.0,1.0,64.0
after.1,1.0,0.6,0.7499999999999999,5.0
after.2,0.6428571428571429,1.0,0.782608695652174,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,1.0,0.95,0.9743589743589743,20.0
against.2,0.95,1.0,0.9743589743589743,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.7692307692307693,1.0,0.8695652173913044,10.0
among.2,1.0,0.6666666666666666,0.8,3.0
among.3,0.5,0.3333333333333333,0.4,3.0
among.4,0.6666666666666666,0.5,0.5714285714285715,4.0
around.1,0.9215686274509803,0.7966101694915254,0.8545454545454545,59.0
around.3,0.7551020408163265,0.9024390243902439,0.8222222222222222,41.0
as.1,0.8484848484848485,1.0,0.9180327868852458,28.0
as.2,0.0,0.0,0.0,5.0
at.1,0.8596491228070176,0.875,0.8672566371681416,56.0
at.2,0.7317073170731707,0.9090909090909091,0.8108108108108109,33.0
at.2_1,1.0,0.5,0.6666666666666666,2.0
at.3,1.0,0.16666666666666666,0.2857142857142857,6.0
at.4,1.0,0.6666666666666666,0.8,3.0
at.5,0.8235294117647058,0.875,0.8484848484848485,32.0
at.6,1.0,0.5,0.6666666666666666,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.6666666666666666,0.8,0.7272727272727272,5.0
before.2,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.8695652173913043,0.9523809523809523,0.909090909090909,21.0
between.4,0.875,0.875,0.875,16.0
between.4_1,1.0,0.5,0.6666666666666666,4.0
by.1,0.7183098591549296,0.9622641509433962,0.8225806451612904,53.0
by.1_1,1.0,0.5555555555555556,0.7142857142857143,9.0
by.2,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0
by.2_2,0.75,0.42857142857142855,0.5454545454545454,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,1.0,0.875,0.9333333333333333,8.0
by.6,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
down.1,0.967741935483871,0.8333333333333334,0.8955223880597015,36.0
down.2,0.6538461538461539,0.9444444444444444,0.7727272727272727,18.0
down.2_1,1.0,0.25,0.4,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.23076923076923078,0.42857142857142855,0.3,7.0
for.11,0.8,0.5714285714285714,0.6666666666666666,7.0
for.12_1,0.46153846153846156,0.75,0.5714285714285714,8.0
for.14,0.47058823529411764,0.8205128205128205,0.5981308411214953,39.0
for.15,0.4,0.5,0.4444444444444445,4.0
for.16,0.6,0.35294117647058826,0.4444444444444445,34.0
for.2,1.0,0.25,0.4,4.0
for.3,0.0,0.0,0.0,6.0
for.4,0.5,0.47058823529411764,0.48484848484848486,34.0
for.5,0.0,0.0,0.0,3.0
for.6,0.8,0.6666666666666666,0.7272727272727272,12.0
for.7,0.6,0.4,0.48,15.0
for.8,0.0,0.0,0.0,0.0
for.9,0.0,0.0,0.0,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.6225165562913907,0.9038461538461539,0.7372549019607844,104.0
from.10,0.0,0.0,0.0,5.0
from.11,0.43333333333333335,0.8666666666666667,0.5777777777777778,15.0
from.12,0.5,0.2857142857142857,0.36363636363636365,21.0
from.13,0.75,0.6,0.6666666666666665,5.0
from.14,0.0,0.0,0.0,1.0
from.15,0.0,0.0,0.0,4.0
from.16,1.0,1.0,1.0,2.0
from.2,1.0,0.5,0.6666666666666666,2.0
from.3,0.5,0.3333333333333333,0.4,3.0
from.4,0.5,0.14285714285714285,0.22222222222222224,7.0
from.5,1.0,1.0,1.0,1.0
from.6,0.875,0.3888888888888889,0.5384615384615385,18.0
from.7,1.0,0.2,0.33333333333333337,5.0
from.8,0.8571428571428571,0.4,0.5454545454545455,30.0
from.9,0.8333333333333334,0.5555555555555556,0.6666666666666667,9.0
from.other,0.0,0.0,0.0,2.0
in.1,0.5449101796407185,0.8272727272727273,0.6570397111913358,110.0
in.10,0.0,0.0,0.0,1.0
in.11,0.2,0.2857142857142857,0.23529411764705882,7.0
in.12,0.0,0.0,0.0,1.0
in.14,0.0,0.0,0.0,1.0
in.14_1,0.5,0.2,0.28571428571428575,5.0
in.15,0.5,0.5,0.5,10.0
in.16,0.35294117647058826,0.42857142857142855,0.3870967741935484,14.0
in.17,0.4,0.2222222222222222,0.2857142857142857,9.0
in.18,0.0,0.0,0.0,1.0
in.19,1.0,0.6,0.7499999999999999,5.0
in.2,0.2727272727272727,0.15789473684210525,0.19999999999999998,19.0
in.20,0.6428571428571429,0.5294117647058824,0.5806451612903226,17.0
in.21,0.0,0.0,0.0,1.0
in.3,1.0,0.3333333333333333,0.5,3.0
in.4,0.6666666666666666,0.25,0.36363636363636365,8.0
in.5,0.5,0.14285714285714285,0.22222222222222224,7.0
in.6,0.47058823529411764,0.25,0.32653061224489793,32.0
in.7,0.0,0.0,0.0,3.0
in.8,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
in.other,0.0,0.0,0.0,3.0
inside.1,1.0,0.375,0.5454545454545454,8.0
inside.1_1,0.4444444444444444,1.0,0.6153846153846153,4.0
inside.1_2,1.0,1.0,1.0,1.0
into.1,0.8347826086956521,0.9896907216494846,0.9056603773584905,97.0
into.2,0.0,0.0,0.0,7.0
into.4,1.0,0.25,0.4,16.0
into.4_1,0.0,0.0,0.0,0.0
like.1,0.8979591836734694,1.0,0.9462365591397849,44.0
like.2,0.0,0.0,0.0,2.0
like.3,0.0,0.0,0.0,1.0
like.4,0.0,0.0,0.0,2.0
of.1,0.391304347826087,0.8571428571428571,0.5373134328358209,42.0
of.10,0.6,0.3333333333333333,0.42857142857142855,9.0
of.11,0.3333333333333333,1.0,0.5,9.0
of.12,0.0,0.0,0.0,4.0
of.13,0.5,1.0,0.6666666666666666,3.0
of.14,0.0,0.0,0.0,5.0
of.15,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
of.16,0.0,0.0,0.0,2.0
of.18,0.4961832061068702,0.8024691358024691,0.6132075471698113,81.0
of.18_1,0.6363636363636364,0.4375,0.5185185185185185,16.0
of.19,0.5172413793103449,0.8823529411764706,0.6521739130434783,17.0
of.2_1,0.68,0.6181818181818182,0.6476190476190475,55.0
of.2_2,0.918918918918919,0.5,0.6476190476190476,68.0
of.2_3,0.75,0.4444444444444444,0.5581395348837209,27.0
of.2_4,0.0,0.0,0.0,2.0
of.3,0.75,0.6206896551724138,0.679245283018868,29.0
