,precision,recall,f1-score,support
about.1,0.9847328244274809,1.0,0.9923076923076923,129.0
about.2,1.0,0.8461538461538461,0.9166666666666666,13.0
above.1,1.0,1.0,1.0,9.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.7142857142857143,1.0,0.8333333333333333,5.0
after.2,0.9,1.0,0.9473684210526316,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.9523809523809523,1.0,0.975609756097561,20.0
against.2,1.0,0.9473684210526315,0.972972972972973,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.8333333333333334,1.0,0.9090909090909091,10.0
among.2,1.0,0.6666666666666666,0.8,3.0
among.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
among.4,0.6666666666666666,0.5,0.5714285714285715,4.0
around.1,0.9148936170212766,0.7288135593220338,0.8113207547169811,59.0
around.3,0.6981132075471698,0.9024390243902439,0.7872340425531914,41.0
as.1,0.9310344827586207,0.9642857142857143,0.9473684210526316,28.0
as.2,0.75,0.6,0.6666666666666665,5.0
at.1,0.8333333333333334,0.9821428571428571,0.9016393442622951,56.0
at.2,0.8709677419354839,0.8181818181818182,0.84375,33.0
at.2_1,1.0,1.0,1.0,2.0
at.3,1.0,0.16666666666666666,0.2857142857142857,6.0
at.4,1.0,0.6666666666666666,0.8,3.0
at.5,0.9090909090909091,0.9375,0.923076923076923,32.0
at.6,1.0,0.75,0.8571428571428571,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.8333333333333334,1.0,0.9090909090909091,5.0
before.2,1.0,1.0,1.0,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.8695652173913043,0.9523809523809523,0.909090909090909,21.0
between.4,0.9333333333333333,0.875,0.9032258064516129,16.0
between.4_1,1.0,0.75,0.8571428571428571,4.0
by.1,0.8225806451612904,0.9622641509433962,0.8869565217391304,53.0
by.1_1,1.0,0.8888888888888888,0.9411764705882353,9.0
by.2,0.8333333333333334,0.35714285714285715,0.5,14.0
by.2_2,0.8333333333333334,0.7142857142857143,0.7692307692307692,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,0.8888888888888888,1.0,0.9411764705882353,8.0
by.6,0.75,1.0,0.8571428571428571,6.0
down.1,0.918918918918919,0.9444444444444444,0.9315068493150684,36.0
down.2,0.7619047619047619,0.8888888888888888,0.8205128205128205,18.0
down.2_1,0.0,0.0,0.0,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.75,0.42857142857142855,0.5454545454545454,7.0
for.11,0.75,0.42857142857142855,0.5454545454545454,7.0
for.12_1,0.7777777777777778,0.875,0.823529411764706,8.0
for.14,0.66,0.8461538461538461,0.7415730337078651,39.0
for.15,0.75,0.75,0.75,4.0
for.16,0.5348837209302325,0.6764705882352942,0.5974025974025974,34.0
for.2,1.0,0.75,0.8571428571428571,4.0
for.3,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
for.4,0.7647058823529411,0.7647058823529411,0.7647058823529412,34.0
for.5,1.0,0.3333333333333333,0.5,3.0
for.6,1.0,0.9166666666666666,0.9565217391304348,12.0
for.7,0.9230769230769231,0.8,0.8571428571428571,15.0
for.9,0.0,0.0,0.0,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.753968253968254,0.9134615384615384,0.8260869565217392,104.0
from.10,1.0,0.2,0.33333333333333337,5.0
from.11,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
from.12,0.6190476190476191,0.6190476190476191,0.6190476190476191,21.0
from.13,0.6666666666666666,0.8,0.7272727272727272,5.0
from.14,0.3333333333333333,1.0,0.5,1.0
from.15,0.0,0.0,0.0,4.0
from.16,1.0,0.5,0.6666666666666666,2.0
from.2,0.5,0.5,0.5,2.0
from.3,1.0,0.3333333333333333,0.5,3.0
from.4,0.8,0.5714285714285714,0.6666666666666666,7.0
from.5,1.0,1.0,1.0,1.0
from.6,1.0,0.5555555555555556,0.7142857142857143,18.0
from.7,0.75,0.6,0.6666666666666665,5.0
from.8,0.8,0.8,0.8000000000000002,30.0
from.9,0.8571428571428571,0.6666666666666666,0.75,9.0
from.other,0.0,0.0,0.0,2.0
in.1,0.743801652892562,0.8181818181818182,0.7792207792207793,110.0
in.10,0.0,0.0,0.0,1.0
in.11,0.375,0.42857142857142855,0.39999999999999997,7.0
in.12,0.0,0.0,0.0,1.0
in.14,0.0,0.0,0.0,1.0
in.14_1,1.0,0.4,0.5714285714285715,5.0
in.15,0.5384615384615384,0.7,0.608695652173913,10.0
in.16,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
in.17,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
in.18,0.0,0.0,0.0,1.0
in.19,0.5,0.6,0.5454545454545454,5.0
in.2,0.55,0.5789473684210527,0.5641025641025641,19.0
in.20,0.8125,0.7647058823529411,0.787878787878788,17.0
in.21,1.0,1.0,1.0,1.0
in.3,0.0,0.0,0.0,3.0
in.4,0.75,0.375,0.5,8.0
in.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
in.6,0.46875,0.46875,0.46875,32.0
in.7,1.0,0.6666666666666666,0.8,3.0
in.8,0.75,0.75,0.75,12.0
in.other,0.0,0.0,0.0,3.0
inside.1,0.8,0.5,0.6153846153846154,8.0
inside.1_1,0.42857142857142855,0.75,0.5454545454545454,4.0
inside.1_2,1.0,1.0,1.0,1.0
into.1,0.8761904761904762,0.9484536082474226,0.9108910891089108,97.0
into.2,0.4,0.2857142857142857,0.3333333333333333,7.0
into.4,0.8888888888888888,0.5,0.64,16.0
into.4_1,0.0,0.0,0.0,0.0
like.1,0.8958333333333334,0.9772727272727273,0.9347826086956522,44.0
like.2,0.0,0.0,0.0,2.0
like.3,0.0,0.0,0.0,1.0
like.4,0.0,0.0,0.0,2.0
of.1,0.851063829787234,0.9523809523809523,0.898876404494382,42.0
of.10,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
of.11,1.0,0.6666666666666666,0.8,9.0
of.12,1.0,0.25,0.4,4.0
of.13,1.0,1.0,1.0,3.0
of.14,0.0,0.0,0.0,5.0
of.15,1.0,0.3333333333333333,0.5,3.0
of.16,1.0,0.5,0.6666666666666666,2.0
of.18,0.6979166666666666,0.8271604938271605,0.7570621468926554,81.0
of.18_1,1.0,0.75,0.8571428571428571,16.0
of.19,0.9333333333333333,0.8235294117647058,0.8749999999999999,17.0
of.2_1,0.9122807017543859,0.9454545454545454,0.9285714285714285,55.0
of.2_2,0.8571428571428571,0.8823529411764706,0.8695652173913043,68.0
of.2_3,0.7857142857142857,0.8148148148148148,0.7999999999999999,27.0
of.2_4,0.0,0.0,0.0,2.0
