,precision,recall,f1-score,support
about.1,0.9772727272727273,1.0,0.9885057471264368,129.0
about.2,1.0,0.7692307692307693,0.8695652173913044,13.0
above.1,1.0,1.0,1.0,9.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.7142857142857143,1.0,0.8333333333333333,5.0
after.2,0.9,1.0,0.9473684210526316,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.9523809523809523,1.0,0.975609756097561,20.0
against.2,1.0,0.9473684210526315,0.972972972972973,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.9090909090909091,1.0,0.9523809523809523,10.0
among.2,1.0,0.6666666666666666,0.8,3.0
among.3,0.5,0.6666666666666666,0.5714285714285715,3.0
among.4,0.6666666666666666,0.5,0.5714285714285715,4.0
around.1,0.8979591836734694,0.7457627118644068,0.8148148148148148,59.0
around.3,0.7058823529411765,0.8780487804878049,0.782608695652174,41.0
as.1,0.9310344827586207,0.9642857142857143,0.9473684210526316,28.0
as.2,0.75,0.6,0.6666666666666665,5.0
at.1,0.8484848484848485,1.0,0.9180327868852458,56.0
at.2,0.875,0.8484848484848485,0.8615384615384615,33.0
at.2_1,1.0,1.0,1.0,2.0
at.3,1.0,0.16666666666666666,0.2857142857142857,6.0
at.4,1.0,0.6666666666666666,0.8,3.0
at.5,0.9090909090909091,0.9375,0.923076923076923,32.0
at.6,1.0,0.5,0.6666666666666666,4.0
at.7,1.0,1.0,1.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.7142857142857143,1.0,0.8333333333333333,5.0
before.2,1.0,0.6666666666666666,0.8,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.8695652173913043,0.9523809523809523,0.909090909090909,21.0
between.4,0.9333333333333333,0.875,0.9032258064516129,16.0
between.4_1,1.0,0.75,0.8571428571428571,4.0
by.1,0.8095238095238095,0.9622641509433962,0.8793103448275862,53.0
by.1_1,1.0,1.0,1.0,9.0
by.2,0.7142857142857143,0.35714285714285715,0.4761904761904762,14.0
by.2_2,0.8,0.5714285714285714,0.6666666666666666,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,1.0,1.0,1.0,8.0
by.6,0.8571428571428571,1.0,0.923076923076923,6.0
down.1,0.9705882352941176,0.9166666666666666,0.9428571428571428,36.0
down.2,0.782608695652174,1.0,0.878048780487805,18.0
down.2_1,1.0,0.25,0.4,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.6,0.42857142857142855,0.5,7.0
for.11,1.0,0.42857142857142855,0.6,7.0
for.12_1,0.75,0.75,0.75,8.0
for.14,0.6296296296296297,0.8717948717948718,0.7311827956989246,39.0
for.15,1.0,0.75,0.8571428571428571,4.0
for.16,0.5952380952380952,0.7352941176470589,0.6578947368421053,34.0
for.2,1.0,0.5,0.6666666666666666,4.0
for.3,0.0,0.0,0.0,6.0
for.4,0.6923076923076923,0.7941176470588235,0.7397260273972601,34.0
for.5,1.0,0.3333333333333333,0.5,3.0
for.6,1.0,0.8333333333333334,0.9090909090909091,12.0
for.7,1.0,0.6666666666666666,0.8,15.0
for.9,0.5,0.2,0.28571428571428575,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.75,0.9230769230769231,0.8275862068965517,104.0
from.10,1.0,0.4,0.5714285714285715,5.0
from.11,0.8,0.8,0.8000000000000002,15.0
from.12,0.8125,0.6190476190476191,0.7027027027027026,21.0
from.13,0.8333333333333334,1.0,0.9090909090909091,5.0
from.14,0.0,0.0,0.0,1.0
from.15,0.5,0.25,0.3333333333333333,4.0
from.16,1.0,1.0,1.0,2.0
from.2,0.6666666666666666,1.0,0.8,2.0
from.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
from.4,0.75,0.42857142857142855,0.5454545454545454,7.0
from.5,1.0,1.0,1.0,1.0
from.6,1.0,0.6666666666666666,0.8,18.0
from.7,0.75,0.6,0.6666666666666665,5.0
from.8,0.8148148148148148,0.7333333333333333,0.7719298245614035,30.0
