,precision,recall,f1-score,support
about.1,0.96875,0.9612403100775194,0.9649805447470817,129.0
about.2,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0
above.1,0.9,1.0,0.9473684210526316,9.0
above.3,0.0,0.0,0.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.6666666666666666,0.8,0.7272727272727272,5.0
after.2,0.7272727272727273,0.8888888888888888,0.7999999999999999,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.95,0.95,0.9500000000000001,20.0
against.2,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.7142857142857143,1.0,0.8333333333333333,10.0
among.2,0.0,0.0,0.0,3.0
among.3,0.6,1.0,0.7499999999999999,3.0
among.4,1.0,0.25,0.4,4.0
around.1,0.918918918918919,0.576271186440678,0.7083333333333333,59.0
around.3,0.6031746031746031,0.926829268292683,0.7307692307692307,41.0
as.1,0.8484848484848485,1.0,0.9180327868852458,28.0
as.2,0.0,0.0,0.0,5.0
at.1,0.71875,0.8214285714285714,0.7666666666666666,56.0
at.2,0.6571428571428571,0.696969696969697,0.676470588235294,33.0
at.2_1,1.0,0.5,0.6666666666666666,2.0
at.3,1.0,0.3333333333333333,0.5,6.0
at.4,1.0,0.6666666666666666,0.8,3.0
at.5,0.7714285714285715,0.84375,0.8059701492537314,32.0
at.6,0.0,0.0,0.0,4.0
at.7,0.0,0.0,0.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.8,0.8,0.8000000000000002,5.0
before.2,0.75,1.0,0.8571428571428571,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.8333333333333334,0.47619047619047616,0.6060606060606061,21.0
between.4,0.5172413793103449,0.9375,0.6666666666666667,16.0
between.4_1,0.0,0.0,0.0,4.0
