,precision,recall,f1-score,support
about.1,0.9694656488549618,0.9844961240310077,0.9769230769230769,129.0
about.2,0.8181818181818182,0.6923076923076923,0.7500000000000001,13.0
above.1,1.0,1.0,1.0,9.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.7142857142857143,1.0,0.8333333333333333,5.0
after.2,0.8,0.8888888888888888,0.8421052631578948,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.9090909090909091,1.0,0.9523809523809523,20.0
against.2,1.0,0.8947368421052632,0.9444444444444444,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.6666666666666666,1.0,0.8,10.0
among.2,0.0,0.0,0.0,3.0
among.3,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
among.4,0.5,0.25,0.3333333333333333,4.0
around.1,0.8913043478260869,0.6949152542372882,0.780952380952381,59.0
around.3,0.6666666666666666,0.8780487804878049,0.7578947368421053,41.0
as.1,0.875,1.0,0.9333333333333333,28.0
as.2,1.0,0.2,0.33333333333333337,5.0
at.1,0.7540983606557377,0.8214285714285714,0.7863247863247863,56.0
at.2,0.6764705882352942,0.696969696969697,0.6865671641791046,33.0
at.2_1,0.3333333333333333,0.5,0.4,2.0
at.3,1.0,0.3333333333333333,0.5,6.0
at.4,1.0,0.6666666666666666,0.8,3.0
at.5,0.6571428571428571,0.71875,0.6865671641791045,32.0
at.6,1.0,0.5,0.6666666666666666,4.0
at.7,0.0,0.0,0.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,1.0,0.6,0.7499999999999999,5.0
before.2,0.5,1.0,0.6666666666666666,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.7894736842105263,0.7142857142857143,0.7500000000000001,21.0
between.4,0.6,0.75,0.6666666666666665,16.0
between.4_1,0.5,0.25,0.3333333333333333,4.0
by.1,0.7540983606557377,0.8679245283018868,0.8070175438596491,53.0
by.1_1,0.4,0.2222222222222222,0.2857142857142857,9.0
by.2,0.6666666666666666,0.42857142857142855,0.5217391304347826,14.0
by.2_2,0.8,0.5714285714285714,0.6666666666666666,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,0.8888888888888888,1.0,0.9411764705882353,8.0
by.6,0.6,1.0,0.7499999999999999,6.0
down.1,0.90625,0.8055555555555556,0.8529411764705882,36.0
down.2,0.64,0.8888888888888888,0.7441860465116279,18.0
down.2_1,1.0,0.25,0.4,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.3333333333333333,0.2857142857142857,0.30769230769230765,7.0
for.11,1.0,0.14285714285714285,0.25,7.0
for.12_1,0.8571428571428571,0.75,0.7999999999999999,8.0
for.14,0.49056603773584906,0.6666666666666666,0.5652173913043478,39.0
for.15,0.0,0.0,0.0,4.0
for.16,0.37735849056603776,0.5882352941176471,0.4597701149425288,34.0
for.2,0.0,0.0,0.0,4.0
for.3,0.0,0.0,0.0,6.0
for.4,0.6,0.6176470588235294,0.608695652173913,34.0
for.5,0.0,0.0,0.0,3.0
for.6,0.6153846153846154,0.6666666666666666,0.64,12.0
for.7,0.6666666666666666,0.26666666666666666,0.3809523809523809,15.0
for.9,0.0,0.0,0.0,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.6341463414634146,0.75,0.6872246696035241,104.0
from.10,0.0,0.0,0.0,5.0
from.11,0.45454545454545453,0.3333333333333333,0.3846153846153846,15.0
from.12,0.18518518518518517,0.23809523809523808,0.20833333333333334,21.0
from.13,0.6666666666666666,0.8,0.7272727272727272,5.0
from.14,1.0,1.0,1.0,1.0
from.15,0.0,0.0,0.0,4.0
from.16,0.0,0.0,0.0,2.0
from.2,0.0,0.0,0.0,2.0
from.3,0.0,0.0,0.0,3.0
from.4,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0
from.5,0.3333333333333333,1.0,0.5,1.0
from.6,0.2857142857142857,0.2222222222222222,0.25,18.0
from.7,0.6,0.6,0.6,5.0
from.8,0.6,0.5,0.5454545454545454,30.0
from.9,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
from.other,0.0,0.0,0.0,2.0
in.1,0.6929133858267716,0.8,0.7426160337552743,110.0
