,precision,recall,f1-score,support
about.1,0.9548872180451128,0.9844961240310077,0.9694656488549618,129.0
about.2,0.7777777777777778,0.5384615384615384,0.6363636363636364,13.0
above.1,1.0,1.0,1.0,9.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.7142857142857143,1.0,0.8333333333333333,5.0
after.2,0.8,0.8888888888888888,0.8421052631578948,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.9523809523809523,1.0,0.975609756097561,20.0
against.2,1.0,0.9473684210526315,0.972972972972973,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.6,0.9,0.7200000000000001,10.0
among.2,0.0,0.0,0.0,3.0
among.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
among.4,0.5,0.25,0.3333333333333333,4.0
around.1,0.9523809523809523,0.6779661016949152,0.7920792079207921,59.0
around.3,0.6724137931034483,0.9512195121951219,0.7878787878787878,41.0
as.1,0.84375,0.9642857142857143,0.8999999999999999,28.0
as.2,0.0,0.0,0.0,5.0
at.1,0.7205882352941176,0.875,0.7903225806451613,56.0
at.2,0.6666666666666666,0.6666666666666666,0.6666666666666666,33.0
at.2_1,0.5,0.5,0.5,2.0
at.3,1.0,0.5,0.6666666666666666,6.0
at.4,1.0,0.3333333333333333,0.5,3.0
at.5,0.7333333333333333,0.6875,0.7096774193548386,32.0
at.6,1.0,0.5,0.6666666666666666,4.0
at.7,0.0,0.0,0.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.8,0.8,0.8000000000000002,5.0
before.2,0.75,1.0,0.8571428571428571,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.7,0.6666666666666666,0.6829268292682926,21.0
between.4,0.6190476190476191,0.8125,0.7027027027027026,16.0
between.4_1,0.0,0.0,0.0,4.0
by.1,0.7313432835820896,0.9245283018867925,0.8166666666666667,53.0
by.1_1,0.25,0.1111111111111111,0.15384615384615383,9.0
by.2,0.8,0.5714285714285714,0.6666666666666666,14.0
by.2_2,0.75,0.42857142857142855,0.5454545454545454,7.0
by.2_3,0.0,0.0,0.0,2.0
by.3,1.0,1.0,1.0,8.0
by.6,0.5,0.5,0.5,6.0
down.1,0.9,0.75,0.8181818181818182,36.0
down.2,0.5925925925925926,0.8888888888888888,0.711111111111111,18.0
down.2_1,1.0,0.25,0.4,4.0
during.1,1.0,1.0,1.0,14.0
for.1,0.0,0.0,0.0,1.0
for.10,0.5,0.42857142857142855,0.4615384615384615,7.0
for.11,0.5,0.14285714285714285,0.22222222222222224,7.0
for.12_1,0.8571428571428571,0.75,0.7999999999999999,8.0
for.14,0.5,0.7435897435897436,0.5979381443298969,39.0
for.15,0.0,0.0,0.0,4.0
for.16,0.38636363636363635,0.5,0.4358974358974359,34.0
for.2,0.5,0.25,0.3333333333333333,4.0
for.3,0.0,0.0,0.0,6.0
for.4,0.6060606060606061,0.5882352941176471,0.5970149253731343,34.0
for.5,0.5,0.3333333333333333,0.4,3.0
for.6,0.5555555555555556,0.4166666666666667,0.4761904761904762,12.0
for.7,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0
for.9,0.0,0.0,0.0,5.0
for.other,0.0,0.0,0.0,1.0
from.1,0.5897435897435898,0.8846153846153846,0.7076923076923076,104.0
from.10,0.0,0.0,0.0,5.0
from.11,0.36363636363636365,0.26666666666666666,0.30769230769230765,15.0
from.12,0.4,0.19047619047619047,0.25806451612903225,21.0
from.13,0.8,0.8,0.8000000000000002,5.0
from.14,1.0,1.0,1.0,1.0
from.15,0.0,0.0,0.0,4.0
from.16,0.0,0.0,0.0,2.0
from.2,0.0,0.0,0.0,2.0
from.3,0.0,0.0,0.0,3.0
from.4,0.25,0.14285714285714285,0.18181818181818182,7.0
from.5,1.0,1.0,1.0,1.0
from.6,0.16666666666666666,0.1111111111111111,0.13333333333333333,18.0
from.7,0.5,0.6,0.5454545454545454,5.0
from.8,0.6363636363636364,0.4666666666666667,0.5384615384615385,30.0
from.9,0.8,0.4444444444444444,0.5714285714285714,9.0
from.other,0.0,0.0,0.0,2.0
in.1,0.5828220858895705,0.8636363636363636,0.695970695970696,110.0
in.10,0.0,0.0,0.0,1.0
in.11,0.6,0.42857142857142855,0.5,7.0
in.12,0.0,0.0,0.0,1.0
in.14,0.0,0.0,0.0,1.0
in.14_1,0.0,0.0,0.0,5.0
in.15,0.7142857142857143,0.5,0.588235294117647,10.0
in.16,0.6470588235294118,0.7857142857142857,0.7096774193548386,14.0
in.17,0.4,0.2222222222222222,0.2857142857142857,9.0
in.18,0.0,0.0,0.0,1.0
in.19,0.3333333333333333,0.2,0.25,5.0
in.2,0.42857142857142855,0.15789473684210525,0.23076923076923078,19.0
in.20,0.6363636363636364,0.4117647058823529,0.5,17.0
in.21,0.0,0.0,0.0,1.0
in.3,1.0,0.3333333333333333,0.5,3.0
in.4,0.8,0.5,0.6153846153846154,8.0
in.5,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
in.6,0.44,0.34375,0.3859649122807018,32.0
in.7,1.0,0.6666666666666666,0.8,3.0
in.8,0.8,0.6666666666666666,0.7272727272727272,12.0
in.other,0.0,0.0,0.0,3.0
inside.1,0.6666666666666666,0.25,0.36363636363636365,8.0
inside.1_1,0.3333333333333333,0.75,0.46153846153846156,4.0
inside.1_2,1.0,1.0,1.0,1.0
into.1,0.8545454545454545,0.9690721649484536,0.9082125603864734,97.0
into.2,0.5,0.14285714285714285,0.22222222222222224,7.0
into.4,0.75,0.375,0.5,16.0
like.1,0.9333333333333333,0.9545454545454546,0.9438202247191012,44.0
like.2,0.3333333333333333,0.5,0.4,2.0
like.3,1.0,1.0,1.0,1.0
like.4,0.0,0.0,0.0,2.0
of.1,0.5625,0.6428571428571429,0.6000000000000001,42.0
of.10,0.6153846153846154,0.8888888888888888,0.7272727272727274,9.0
of.11,0.0,0.0,0.0,9.0
of.12,0.0,0.0,0.0,4.0
of.13,0.6,1.0,0.7499999999999999,3.0
of.14,0.0,0.0,0.0,5.0
of.15,1.0,0.3333333333333333,0.5,3.0
of.16,1.0,0.5,0.6666666666666666,2.0
of.18,0.35877862595419846,0.5802469135802469,0.44339622641509435,81.0
of.18_1,0.75,0.1875,0.3,16.0
of.19,0.4444444444444444,0.23529411764705882,0.30769230769230765,17.0
of.2_1,0.2786885245901639,0.3090909090909091,0.29310344827586204,55.0
of.2_2,0.5263157894736842,0.29411764705882354,0.3773584905660377,68.0
of.2_3,0.5294117647058824,0.3333333333333333,0.409090909090909,27.0
of.2_4,0.0,0.0,0.0,2.0
of.3,0.40540540540540543,0.5172413793103449,0.4545454545454546,29.0
of.4,0.39893617021276595,0.5769230769230769,0.4716981132075472,130.0
of.5,0.3076923076923077,0.12903225806451613,0.18181818181818182,31.0
of.5_1,1.0,0.3333333333333333,0.5,3.0
of.6,0.5,0.1,0.16666666666666669,10.0
of.7,0.5,0.09523809523809523,0.16,21.0
of.7_1,0.6666666666666666,1.0,0.8,2.0
of.8,0.0,0.0,0.0,8.0
of.8_1,0.0,0.0,0.0,1.0
of.9,0.0,0.0,0.0,2.0
off.1,0.88,1.0,0.9361702127659575,22.0
off.3_1,0.0,0.0,0.0,2.0
off.other,0.0,0.0,0.0,1.0
on.1,0.5737704918032787,0.7142857142857143,0.6363636363636364,49.0
on.10,0.0,0.0,0.0,1.0
on.11,0.6666666666666666,0.5,0.5714285714285715,4.0
on.12,0.0,0.0,0.0,1.0
on.1_1,0.0,0.0,0.0,4.0
on.1_2,0.3877551020408163,0.48717948717948717,0.43181818181818177,39.0
on.1_3,1.0,0.3333333333333333,0.5,6.0
on.1_4,0.0,0.0,0.0,4.0
on.2,0.6666666666666666,0.25,0.36363636363636365,8.0
on.3,0.6052631578947368,0.7666666666666667,0.676470588235294,30.0
on.4_1,0.75,0.75,0.75,4.0
on.4_2,0.0,0.0,0.0,1.0
on.4_3,0.0,0.0,0.0,1.0
on.5,1.0,0.9,0.9473684210526316,10.0
on.6,1.0,0.42857142857142855,0.6,7.0
on.7,0.0,0.0,0.0,1.0
on.8,1.0,1.0,1.0,1.0
on.9,0.0,0.0,0.0,1.0
on.other,0.0,0.0,0.0,1.0
onto.1,1.0,1.0,1.0,23.0
over.1,0.0,0.0,0.0,3.0
over.10,0.5,0.16666666666666666,0.25,6.0
over.3,0.8571428571428571,0.5454545454545454,0.6666666666666665,11.0
over.5,0.4,0.6666666666666666,0.5,3.0
over.6_1,0.0,0.0,0.0,1.0
over.8,0.5416666666666666,0.8125,0.65,16.0
through.1,0.9166666666666666,1.0,0.9565217391304348,77.0
through.3,0.6666666666666666,0.2857142857142857,0.4,7.0
through.4,0.0,0.0,0.0,3.0
to.1,0.6818181818181818,0.8108108108108109,0.7407407407407407,74.0
to.1_1,0.6666666666666666,0.5454545454545454,0.6,11.0
to.2,0.4444444444444444,0.36363636363636365,0.39999999999999997,11.0
to.3,0.6,0.42857142857142855,0.5,7.0
to.4_1,0.6419753086419753,0.7323943661971831,0.6842105263157894,71.0
to.4_2,0.0,0.0,0.0,7.0
to.5,0.0,0.0,0.0,1.0
to.6,0.5,0.25,0.3333333333333333,4.0
to.7,0.5142857142857142,0.391304347826087,0.4444444444444444,46.0
toward.1,0.926829268292683,0.9743589743589743,0.9500000000000001,39.0
toward.1_2,0.0,0.0,0.0,1.0
toward.2,0.0,0.0,0.0,1.0
toward.3,0.0,0.0,0.0,2.0
with.1,0.5161290322580645,0.7804878048780488,0.6213592233009708,41.0
with.10_1,0.6666666666666666,0.5,0.5714285714285715,12.0
with.10_2,0.8888888888888888,0.4,0.5517241379310346,20.0
with.10_3,0.625,0.38461538461538464,0.4761904761904762,13.0
with.3,0.0,0.0,0.0,4.0
with.4,0.6206896551724138,0.8571428571428571,0.7200000000000001,84.0
with.5,0.8888888888888888,0.6153846153846154,0.7272727272727274,26.0
with.6,0.75,0.6,0.6666666666666665,5.0
with.7,0.0,0.0,0.0,9.0
with.7_1,0.6666666666666666,0.2857142857142857,0.4,14.0
with.7_2,0.0,0.0,0.0,1.0
with.8,0.0,0.0,0.0,4.0
accuracy,0.6538220551378446,0.6538220551378446,0.6538220551378446,0.6538220551378446
macro avg,0.48529947720967354,0.4229784648898007,0.43203406125411875,3192.0
weighted avg,0.6377116039986448,0.6538220551378446,0.6277939303027009,3192.0
