,precision,recall,f1-score,support
about.1,0.9615384615384616,0.9689922480620154,0.9652509652509652,129.0
about.2,0.6666666666666666,0.6153846153846154,0.64,13.0
above.1,1.0,1.0,1.0,9.0
above.3,1.0,1.0,1.0,1.0
across.1,1.0,1.0,1.0,64.0
after.1,0.7142857142857143,1.0,0.8333333333333333,5.0
after.2,0.8,0.8888888888888888,0.8421052631578948,9.0
after.3,0.0,0.0,0.0,1.0
after.4,0.0,0.0,0.0,2.0
against.1,0.9523809523809523,1.0,0.975609756097561,20.0
against.2,1.0,0.9473684210526315,0.972972972972973,19.0
along.1,1.0,1.0,1.0,56.0
among.1,0.625,1.0,0.7692307692307693,10.0
among.2,0.0,0.0,0.0,3.0
among.3,1.0,0.6666666666666666,0.8,3.0
among.4,0.5,0.25,0.3333333333333333,4.0
around.1,0.9333333333333333,0.711864406779661,0.8076923076923076,59.0
around.3,0.6909090909090909,0.926829268292683,0.7916666666666667,41.0
as.1,0.84375,0.9642857142857143,0.8999999999999999,28.0
as.2,0.0,0.0,0.0,5.0
at.1,0.7313432835820896,0.875,0.7967479674796748,56.0
at.2,0.65625,0.6363636363636364,0.6461538461538462,33.0
at.2_1,0.5,0.5,0.5,2.0
at.3,1.0,0.5,0.6666666666666666,6.0
at.4,1.0,0.3333333333333333,0.5,3.0
at.5,0.6875,0.6875,0.6875,32.0
at.6,1.0,0.5,0.6666666666666666,4.0
at.7,0.0,0.0,0.0,1.0
at.8,0.0,0.0,0.0,2.0
before.1,0.8,0.8,0.8000000000000002,5.0
before.2,0.75,1.0,0.8571428571428571,3.0
before.2_1,0.0,0.0,0.0,1.0
behind.1,1.0,1.0,1.0,26.0
beneath.1,1.0,1.0,1.0,12.0
beside.1,1.0,1.0,1.0,12.0
between.1,0.7,0.6666666666666666,0.6829268292682926,21.0
between.4,0.6190476190476191,0.8125,0.7027027027027026,16.0
between.4_1,0.0,0.0,0.0,4.0
by.1,0.75,0.8490566037735849,0.7964601769911505,53.0
by.1_1,0.2,0.1111111111111111,0.14285714285714285,9.0
by.2,0.8,0.5714285714285714,0.6666666666666666,14.0
by.2_2,0.75,0.42857142857142855,0.5454545454545454,7.0
